Time: 352.53, Detected Patient: 1297, DetectionCount: 1
Time: 352.97, Detected Patient: 1368, DetectionCount: 1
Time: 357.88, Detected Patient: 1305, DetectionCount: 1
Time: 365.75, Detected Patient: 1360, DetectionCount: 1
Time: 367.83, Detected Patient: 1357, DetectionCount: 1
Time: 370.43, Detected Patient: 1333, DetectionCount: 1
Time: 375.52, Detected Patient: 1438, DetectionCount: 1
Time: 376.03, Detected Patient: 1301, DetectionCount: 1
Time: 381.31, Detected Patient: 1450, DetectionCount: 1
Time: 386.56, Detected Patient: 1433, DetectionCount: 1
Time: 386.59, Detected Patient: 1395, DetectionCount: 1
Time: 391.34, Detected Patient: 1478, DetectionCount: 1
Time: 392.96, Detected Patient: 1446, DetectionCount: 1
Time: 396.31, Detected Patient: 1461, DetectionCount: 1
Time: 399.13, Detected Patient: 1443, DetectionCount: 1
Time: 400.92, Detected Patient: 1466, DetectionCount: 1
Time: 402.46, Detected Patient: 1485, DetectionCount: 1
Time: 403.72, Detected Patient: 1366, DetectionCount: 1
Time: 410.41, Detected Patient: 1508, DetectionCount: 1
Time: 416.51, Detected Patient: 1489, DetectionCount: 1
Time: 420.25, Detected Patient: 1589, DetectionCount: 1
Time: 421.57, Detected Patient: 1411, DetectionCount: 1
Time: 425.19, Detected Patient: 1608, DetectionCount: 1
Time: 428.32, Detected Patient: 1584, DetectionCount: 1
Time: 428.33, Detected Patient: 1511, DetectionCount: 1
Time: 441.15, Detected Patient: 1604, DetectionCount: 1
Time: 443.65, Detected Patient: 1670, DetectionCount: 1
Time: 451.94, Detected Patient: 1663, DetectionCount: 1
Time: 454.96, Detected Patient: 1613, DetectionCount: 1
Time: 456.72, Detected Patient: 1666, DetectionCount: 1
Time: 463.12, Detected Patient: 1672, DetectionCount: 1
Time: 468.48, Detected Patient: 1718, DetectionCount: 1
Time: 470.11, Detected Patient: 1610, DetectionCount: 1
Time: 474.20, Detected Patient: 1625, DetectionCount: 1
Time: 475.53, Detected Patient: 1781, DetectionCount: 1
Time: 475.75, Detected Patient: 1709, DetectionCount: 1
Time: 477.55, Detected Patient: 1755, DetectionCount: 1
Time: 482.74, Detected Patient: 1807, DetectionCount: 1
Time: 483.33, Detected Patient: 1723, DetectionCount: 1
Time: 483.64, Detected Patient: 1783, DetectionCount: 1
Time: 483.68, Detected Patient: 1740, DetectionCount: 1
Time: 487.34, Detected Patient: 1830, DetectionCount: 1
Time: 494.67, Detected Patient: 1805, DetectionCount: 1
Time: 498.19, Detected Patient: 1872, DetectionCount: 1
Time: 503.87, Detected Patient: 1836, DetectionCount: 1
Time: 505.81, Detected Patient: 1831, DetectionCount: 1
Time: 505.87, Detected Patient: 1880, DetectionCount: 1
Time: 507.22, Detected Patient: 1837, DetectionCount: 1
Time: 508.23, Detected Patient: 1825, DetectionCount: 1
Time: 512.34, Detected Patient: 1866, DetectionCount: 1
Time: 514.37, Detected Patient: 1882, DetectionCount: 1
