"run","DoActiveSurveillance","IsolationEffectiveness","DaysBetweenTests","tick","ClinicalDetections","MeanDailyPrevalence","MeanDischargePrevalence","ImportationPrevalence","NumberOfTransmissions"
110,"true",0.5,7.0,5474.0,2692,0.3169984740603369,0.48652833694642306,0.20327716803215334,15994
126,"true",0.5,7.0,5474.0,3156,0.3368532028863192,0.5425802351445821,0.19996820855189953,18876
142,"true",0.5,7.0,5474.0,3620,0.35699137386213786,0.6127541589648798,0.20441988950276244,20936
158,"true",0.5,7.0,5474.0,4152,0.3772030082168431,0.6535326086956522,0.20744761043268506,23200
174,"true",0.5,7.0,5474.0,4712,0.3966734225678651,0.6760429835651075,0.20691287878787878,24462
190,"true",0.5,7.0,5474.0,5274,0.4146689556079405,0.7140204271123491,0.2079207920792079,25814
15,"true",0.5,7.0,5474.0,670,0.2325613145104964,0.22266955713843295,0.206624361553939,2224
31,"true",0.5,7.0,5474.0,917,0.23610677436224312,0.24695597876990322,0.19591008429597254,3502
47,"true",0.5,7.0,5474.0,1181,0.247464454339605,0.2935597368823619,0.20250841235851944,5678
63,"true",0.5,7.0,5474.0,1503,0.263575777038107,0.34493815849748055,0.21152376585664068,8208
79,"true",0.5,7.0,5474.0,1854,0.28026942833192603,0.40528971105335576,0.20923498933252058,10916
95,"true",0.5,7.0,5474.0,2237,0.2986835400660675,0.4411074612857813,0.20306154326772882,13538
111,"true",0.5,7.0,5474.0,2625,0.3180590852373201,0.47950946910897235,0.20554093793530412,16006
127,"true",0.5,7.0,5474.0,3069,0.33893170771189207,0.5579045546401368,0.19588913111180317,18978
143,"true",0.5,7.0,5474.0,3584,0.3593310304083048,0.6086425408459307,0.2040036674816626,21414
159,"true",0.5,7.0,5474.0,4131,0.37934808825548244,0.6556603773584906,0.20556061987237922,23422
175,"true",0.5,7.0,5474.0,4633,0.3980657835077485,0.6818038473667613,0.20693459416863672,24268
191,"true",0.5,7.0,5474.0,5185,0.416423068634703,0.7263948497854077,0.20073383274728634,26348
16,"true",0.5,7.0,5474.0,670,0.22605577915368852,0.2130637636080871,0.19527363184079602,2192
32,"true",0.5,7.0,5474.0,935,0.23536621670185726,0.26230269266480966,0.2104613485573214,3702
48,"true",0.5,7.0,5474.0,1238,0.24672508970511964,0.29469040012171005,0.20648204503956177,5740
64,"true",0.5,7.0,5474.0,1542,0.26362303669563014,0.35599505562422745,0.21029843822483377,8220
80,"true",0.5,7.0,5474.0,1928,0.2817965459457259,0.40821917808219177,0.2076794149017218,11284
96,"true",0.5,7.0,5474.0,2300,0.3008273862661793,0.47278808148373364,0.21520716345424193,13946
112,"true",0.5,7.0,5474.0,2763,0.3203492389738086,0.518455859735466,0.21213054187192118,16046
128,"true",0.5,7.0,5474.0,3189,0.3412648265371587,0.5716496440730424,0.20455602045560203,19268
144,"true",0.5,7.0,5474.0,3697,0.36198587354641826,0.6255137768305679,0.20364741641337386,21618
160,"true",0.5,7.0,5474.0,4194,0.3811893550756971,0.6638323716975403,0.20446265938069216,23394
176,"true",0.5,7.0,5474.0,4733,0.4003610596066417,0.695618516798266,0.21028182099721276,25040
192,"true",0.5,7.0,5474.0,5295,0.41913279019559074,0.7297215035763202,0.20192161049260332,26598
2,"true",0.5,7.0,5474.0,533,0.19890808510087765,0.19756744113519414,0.20771513353115728,154
18,"true",0.5,7.0,5474.0,764,0.21109385224205868,0.23093415007656967,0.2113323124042879,1984
34,"true",0.5,7.0,5474.0,1014,0.22241033525450096,0.26537758830694275,0.20419963481436396,3942
50,"true",0.5,7.0,5474.0,1325,0.23670877852996425,0.30474452554744524,0.2036613272311213,6350
66,"true",0.5,7.0,5474.0,1651,0.2540932062449053,0.3680544807305371,0.21311475409836064,9082
82,"true",0.5,7.0,5474.0,1997,0.27017694503622935,0.39843260188087776,0.20634920634920634,11172
98,"true",0.5,7.0,5474.0,2441,0.2890229560922785,0.46000910608590073,0.20227963525835865,14188
114,"true",0.5,7.0,5474.0,2894,0.30870808084389423,0.5183773066951349,0.21436194541850892,17174
130,"true",0.5,7.0,5474.0,3336,0.3296246350873668,0.585625,0.2064758329422806,19258
146,"true",0.5,7.0,5474.0,3829,0.3493269186630959,0.6173103343001068,0.20186287982898152,21280
162,"true",0.5,7.0,5474.0,4322,0.3684262513864168,0.642041949413942,0.19990737882062365,23614
178,"true",0.5,7.0,5474.0,4874,0.3871854119163447,0.6817484662576687,0.20733578882750153,25048
194,"true",0.5,7.0,5474.0,5453,0.4049182148084271,0.7199815979144303,0.1990477653202273,26624
3,"true",0.5,7.0,5474.0,574,0.2049807989314041,0.19981412639405205,0.21050178654652787,282
19,"true",0.5,7.0,5474.0,791,0.21001481017245688,0.21577017114914426,0.19535310302659736,2018
35,"true",0.5,7.0,5474.0,1056,0.2235206531355504,0.267438223334376,0.20775363451617945,4204
51,"true",0.5,7.0,5474.0,1362,0.2382624876404878,0.29720879463589583,0.20381071372794002,6420
67,"true",0.5,7.0,5474.0,1723,0.2548570931781074,0.35185185185185186,0.20831401638077576,8970
83,"true",0.5,7.0,5474.0,2112,0.2724416302684629,0.40953998147576415,0.20405008502086877,11424
99,"true",0.5,7.0,5474.0,2516,0.291831987707321,0.4665948275862069,0.20460475825019186,14450
115,"true",0.5,7.0,5474.0,2983,0.3128904122221222,0.5365665896843725,0.2098613251155624,17394
131,"true",0.5,7.0,5474.0,3450,0.33168448505822923,0.5629343629343629,0.20399628252788105,18936
147,"true",0.5,7.0,5474.0,3931,0.3517871708279079,0.6188795088257867,0.2037122258015033,21892
163,"true",0.5,7.0,5474.0,4458,0.371343400687731,0.6711990111248455,0.2025375212749497,23656
179,"true",0.5,7.0,5474.0,5038,0.39009482716033606,0.6860735910572893,0.2053349875930521,25146
195,"true",0.5,7.0,5474.0,5579,0.40837753539779464,0.7344563552833078,0.21314496314496315,26634
4,"true",0.5,7.0,5474.0,596,0.19972862098052405,0.19495412844036697,0.2044478527607362,382
20,"true",0.5,7.0,5474.0,833,0.21387688916287684,0.23126734505087881,0.20667800278250115,2130
36,"true",0.5,7.0,5474.0,1088,0.2249774521491644,0.2626749611197512,0.20348204570184983,4046
52,"true",0.5,7.0,5474.0,1384,0.24007738498863865,0.3153811045184847,0.21132533778654927,6612
68,"true",0.5,7.0,5474.0,1744,0.2579631972854634,0.3556819929263417,0.20277136258660508,9588
84,"true",0.5,7.0,5474.0,2085,0.27662884444278973,0.4456369575361643,0.2148876404494382,12142
100,"true",0.5,7.0,5474.0,2496,0.2958936012642097,0.4729102167182663,0.20229777984784972,14506
116,"true",0.5,7.0,5474.0,2949,0.3147680194110197,0.5297428875703636,0.19917770671539517,17774
132,"true",0.5,7.0,5474.0,3405,0.33523937020796657,0.5816923076923077,0.2046964313301406,19740
148,"true",0.5,7.0,5474.0,3928,0.3548921679555817,0.6295308332025733,0.21693205107993063,21308
164,"true",0.5,7.0,5474.0,4403,0.3744081201949361,0.6702325581395349,0.20993017843289372,23590
180,"true",0.5,7.0,5474.0,4932,0.393132268433449,0.6917596034696406,0.20329243671377542,24928
196,"true",0.5,7.0,5474.0,5503,0.410942087896629,0.7197844495765974,0.20326204031389444,26694
5,"true",0.5,7.0,5474.0,619,0.20352412009126913,0.1978560490045942,0.2019892884468248,538
21,"true",0.5,7.0,5474.0,867,0.214650049767825,0.22639780018331807,0.20253164556962025,2284
37,"true",0.5,7.0,5474.0,1137,0.22487590895019696,0.2612350963008254,0.20657995409334354,4246
53,"true",0.5,7.0,5474.0,1418,0.23975996511236294,0.308584686774942,0.20511231603408211,6702
69,"true",0.5,7.0,5474.0,1768,0.2577729163338818,0.37195972114639814,0.20532260560111404,9302
85,"true",0.5,7.0,5474.0,2143,0.2774893541809471,0.42117610259618393,0.21071596428011907,12102
101,"true",0.5,7.0,5474.0,2545,0.29716503177962955,0.49049844236760126,0.21114050101135834,15166
117,"true",0.5,7.0,5474.0,2957,0.3167596948567994,0.5263719512195122,0.20484682213077274,17372
133,"true",0.5,7.0,5474.0,3402,0.33770236216695443,0.5957976653696498,0.20522388059701493,19734
149,"true",0.5,7.0,5474.0,3943,0.3572539535002115,0.6375154511742892,0.2121586174972998,21944
165,"true",0.5,7.0,5474.0,4458,0.37643591601840964,0.6629126812712126,0.202994751466502,23990
181,"true",0.5,7.0,5474.0,5009,0.395529524462952,0.6891001073125862,0.20683287165281625,25534
197,"true",0.5,7.0,5474.0,5558,0.41427875730976915,0.7495330012453301,0.21231917872141856,26662
6,"true",0.5,7.0,5474.0,556,0.20482895761522216,0.20317361543248288,0.20762052877138415,730
22,"true",0.5,7.0,5474.0,788,0.21789917147017146,0.23611752038147976,0.20584166026133743,2378
38,"true",0.5,7.0,5474.0,989,0.22811359824916982,0.264319901188822,0.19858156028368795,4418
54,"true",0.5,7.0,5474.0,1293,0.24423094296962652,0.33389596440079794,0.2151510504523846,7114
70,"true",0.5,7.0,5474.0,1645,0.2607882612454776,0.3774447949526814,0.20207416719044627,9500
86,"true",0.5,7.0,5474.0,2005,0.2799166237663023,0.44026412776412777,0.21160933660933662,12436
102,"true",0.5,7.0,5474.0,2396,0.29807887723604637,0.47765579093861144,0.20442587434230888,14774
118,"true",0.5,7.0,5474.0,2867,0.3191982107252247,0.5322255008541699,0.19220012430080796,18134
134,"true",0.5,7.0,5474.0,3371,0.33953536560904785,0.5862016215389322,0.2136725935009197,20016
150,"true",0.5,7.0,5474.0,3892,0.3602647053730081,0.6451411636250195,0.2208398133748056,21702
166,"true",0.5,7.0,5474.0,4408,0.37928611500346676,0.6621266057885776,0.20761138613861385,23642
182,"true",0.5,7.0,5474.0,4996,0.39720763874858594,0.6948580199539525,0.20391190512860002,25320
198,"true",0.5,7.0,5474.0,5580,0.41508207392160823,0.7268695519192537,0.2042339323789217,26888
7,"true",0.5,7.0,5474.0,583,0.202514006270391,0.2016949152542373,0.2018179017100601,812
23,"true",0.5,7.0,5474.0,838,0.21422137603221808,0.23206880663492552,0.20079828062634325,2496
39,"true",0.5,7.0,5474.0,1097,0.22814087766020813,0.27413244430974393,0.20442826812253564,4624
55,"true",0.5,7.0,5474.0,1402,0.24274286332397463,0.33328199599568764,0.21504547556651765,6994
71,"true",0.5,7.0,5474.0,1711,0.2612652349620651,0.37955868832362855,0.2173380303262368,9710
87,"true",0.5,7.0,5474.0,2112,0.2796889372412581,0.4308312655086849,0.2058457711442786,12272
103,"true",0.5,7.0,5474.0,2514,0.29814900240140296,0.47382878071112466,0.20348570554961015,14980
119,"true",0.5,7.0,5474.0,2939,0.31771809316986077,0.5250578257517348,0.21102192034578574,17548
135,"true",0.5,7.0,5474.0,3423,0.3384319424141079,0.5977688255345522,0.20934176044396485,20208
151,"true",0.5,7.0,5474.0,3903,0.3585833023012412,0.6295092119523146,0.20940303124033405,21944
167,"true",0.5,7.0,5474.0,4420,0.37788542683352977,0.6636533665835411,0.21376189733187706,23580
183,"true",0.5,7.0,5474.0,4939,0.3967714250007569,0.7142857142857143,0.2060790273556231,25690
199,"true",0.5,7.0,5474.0,5522,0.4146487603931315,0.7302528879175773,0.20846956250973064,26876
8,"true",0.5,7.0,5474.0,619,0.20914251583313065,0.19726623174899036,0.19857275829972076,1120
24,"true",0.5,7.0,5474.0,878,0.22034170192247565,0.23489308955686397,0.20241411327762301,2612
40,"true",0.5,7.0,5474.0,1135,0.2354164887741863,0.2808375056895767,0.20779614742909147,4982
56,"true",0.5,7.0,5474.0,1452,0.2500412907190635,0.325194401244168,0.20655890581286912,7148
72,"true",0.5,7.0,5474.0,1789,0.2665628085636467,0.392280485929571,0.21293302540415704,9744
88,"true",0.5,7.0,5474.0,2163,0.2843649817910806,0.43650915807295676,0.20723633564280217,12226
104,"true",0.5,7.0,5474.0,2570,0.30297873446488766,0.4858490566037736,0.2037655633161251,15222
120,"true",0.5,7.0,5474.0,3035,0.32365398420987174,0.5437585317761262,0.21110942479890726,18282
136,"true",0.5,7.0,5474.0,3512,0.3440731664161812,0.5972572509457755,0.21212121212121213,20286
152,"true",0.5,7.0,5474.0,4007,0.3633716652478335,0.6322848475171643,0.21281721811757148,21630
168,"true",0.5,7.0,5474.0,4514,0.38264064141096626,0.6705166224442016,0.21161048689138576,23622
184,"true",0.5,7.0,5474.0,5057,0.4012723523990848,0.7118827160493827,0.20052444855776647,25422
200,"true",0.5,7.0,5474.0,5618,0.4194492479070771,0.7394096956721211,0.20877273421977685,26860
9,"true",0.5,7.0,5474.0,594,0.21452135217768045,0.20578728643989533,0.2061950993989829,1200
25,"true",0.5,7.0,5474.0,828,0.22334025852977013,0.23741007194244604,0.20064377682403434,2688
41,"true",0.5,7.0,5474.0,1122,0.2381422735195092,0.27925696594427246,0.20210298438224833,5142
57,"true",0.5,7.0,5474.0,1416,0.25284429045117135,0.3372128637059724,0.20734506503442998,7510
73,"true",0.5,7.0,5474.0,1750,0.26902655480469984,0.3813188471404859,0.2092214663643235,9904
89,"true",0.5,7.0,5474.0,2117,0.28693561443296456,0.4275296262534184,0.20282588878760255,12958
105,"true",0.5,7.0,5474.0,2536,0.3041175019467839,0.5005308660700744,0.21230908815968547,15238
121,"true",0.5,7.0,5474.0,2952,0.32468554575553776,0.5359879789631856,0.20406932931424265,18320
137,"true",0.5,7.0,5474.0,3400,0.34402069673811825,0.570155217458122,0.19877017678708686,20322
153,"true",0.5,7.0,5474.0,3880,0.36396133651501544,0.6456717344089358,0.20435588507877664,22190
169,"true",0.5,7.0,5474.0,4392,0.38394406663445096,0.6865992026985587,0.2251920122887865,24472
185,"true",0.5,7.0,5474.0,4908,0.40321416257245957,0.7221098490742182,0.20619841146238904,25818
201,"true",0.5,7.0,5474.0,5484,0.42081061871198816,0.7265465935787001,0.20332080200501254,26906
