"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
172,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.7,2,0.62531,0.954,7.0,5475,-929228646,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
190,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.88,2,0.62531,0.954,7.0,5475,-929185735,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
208,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.05,3,0.62531,0.954,7.0,5475,-929145198,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
226,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.23,3,0.62531,0.954,7.0,5475,-929124082,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
244,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.41,3,0.62531,0.954,7.0,5475,-929085097,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
262,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.59,3,0.62531,0.954,7.0,5475,-929052935,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
280,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.77,3,0.62531,0.954,7.0,5475,-929013900,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
298,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.95,3,0.62531,0.954,7.0,5475,-928971413,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
316,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.12,4,0.62531,0.954,7.0,5475,-928917592,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
334,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.3,4,0.62531,0.954,7.0,5475,-928878521,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
352,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.48,4,0.62531,0.954,7.0,5475,-928841320,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
370,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.66,4,0.62531,0.954,7.0,5475,-928802119,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
388,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.84,4,0.62531,0.954,7.0,5475,-928762654,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
11,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.1,1,0.62531,0.954,7.0,5475,-929611166,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
29,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.28,1,0.62531,0.954,7.0,5475,-929567042,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
47,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.46,1,0.62531,0.954,7.0,5475,-929531460,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
65,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.64,1,0.62531,0.954,7.0,5475,-929488523,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
83,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.82,1,0.62531,0.954,7.0,5475,-929445668,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
101,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",1.0,1,0.62531,0.954,7.0,5475,-929394181,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
119,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.17,2,0.62531,0.954,7.0,5475,-929344261,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
137,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.35,2,0.62531,0.954,7.0,5475,-929292081,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
155,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.53,2,0.62531,0.954,7.0,5475,-929261372,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
173,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.71,2,0.62531,0.954,7.0,5475,-929222050,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
191,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.89,2,0.62531,0.954,7.0,5475,-929181306,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
209,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.06,3,0.62531,0.954,7.0,5475,-929134780,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
227,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.24,3,0.62531,0.954,7.0,5475,-929108992,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
245,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.42,3,0.62531,0.954,7.0,5475,-929062350,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
263,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.6,3,0.62531,0.954,7.0,5475,-929026703,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
281,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.78,3,0.62531,0.954,7.0,5475,-928983571,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
299,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.96,3,0.62531,0.954,7.0,5475,-928934479,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
317,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.13,4,0.62531,0.954,7.0,5475,-928889623,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
335,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.31,4,0.62531,0.954,7.0,5475,-928848339,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
353,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.49,4,0.62531,0.954,7.0,5475,-928814111,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
371,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.67,4,0.62531,0.954,7.0,5475,-928777708,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
389,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.85,4,0.62531,0.954,7.0,5475,-928740957,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
12,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.11,1,0.62531,0.954,7.0,5475,-929611507,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
30,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.29,1,0.62531,0.954,7.0,5475,-929568376,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
48,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.47,1,0.62531,0.954,7.0,5475,-929535118,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
66,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.65,1,0.62531,0.954,7.0,5475,-929501565,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
84,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.83,1,0.62531,0.954,7.0,5475,-929463360,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
102,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.0,2,0.62531,0.954,7.0,5475,-929417030,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
120,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.18,2,0.62531,0.954,7.0,5475,-929415899,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
138,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.36,2,0.62531,0.954,7.0,5475,-929370273,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
156,"false","false","true","false",0.5,"CRE",7.60197,1.23279,0.206,"true",0.54,2,0.62531,0.954,7.0,5475,-929335379,0.911,122.0,387.0,23.52147,3.41952,0.8,3650
