"run","allowImportationsDuringBurnIn","isBatchRun","isolatePatientWhenDetected","doActiveSurveillanceAfterBurnIn","isolationEffectiveness","diseaseName","shape1","shape2","importationRate","isActiveSurveillanceAgent","beta","extraIteration","prob1","midstaySurveillanceAdherence","daysBetweenTests","simulationDurationAfterBurnIn","randomSeed","admissionSurveillanceAdherence","meanDetectionTime","avgDecolonizationTime","scale2","scale1","probSurveillanceDetection","burnInPeriod"
123,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.122,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
139,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.138,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
155,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.154,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
171,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.17,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
187,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.186,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
12,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.011,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
28,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.027,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
44,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.043,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
60,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.059,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
76,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.075,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
92,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.091,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
108,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.107,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
124,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.123,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
140,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.139,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
156,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.155,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
172,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.171,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
188,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.187,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
13,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.012,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
29,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.028,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
45,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.044,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
61,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.06,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
77,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.076,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
93,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.092,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
109,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.108,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
125,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.124,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
141,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.14,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
157,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.156,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
173,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.172,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
189,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.188,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
14,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.013,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
30,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.029,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
46,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.045,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
62,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.061,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
78,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.077,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
94,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.093,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
110,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.109,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
126,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.125,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
142,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.141,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
158,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.157,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
174,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.173,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
190,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.189,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
15,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.014,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
31,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.03,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
47,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.046,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
63,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.062,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
79,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.078,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
95,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.094,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
111,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.11,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
127,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.126,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
143,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.142,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
159,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.158,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
175,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.174,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
191,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.19,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
16,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.015,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
32,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.031,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
48,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.047,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
64,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.063,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
80,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.079,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
96,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.095,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
112,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.111,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
128,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.127,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
144,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.143,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
160,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.159,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
176,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.175,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
192,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.191,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
2,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.001,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
18,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.017,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
34,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.033,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
50,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.049,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
66,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.065,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
82,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.081,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
98,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.097,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
114,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.113,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
130,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.129,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
146,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.145,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
162,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.161,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
178,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.177,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
194,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.193,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
3,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.002,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
19,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.018,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
35,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.034,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
51,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.05,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
67,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.066,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
83,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.082,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
99,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.098,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
115,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.114,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
131,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.13,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
147,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.146,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
163,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.162,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
179,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.178,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
195,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.194,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
4,"false","false","true","true",0.5,"CRE",7.60197,1.23279,0.206,"true",0.003,0,0.62531,0.954,7.0,5475,123456789,0.911,122.0,387.0,23.52147,3.41952,95.0,3650
